Loop	Sum

  1	155403184
  2	154054272
  3	152893616
  4	152520352
  5	152792480
  6	152628112
  7	151881632
  8	152546672
  9	151952192
  10	152224128
  11	151526400
  12	152926800
  13	153463120
  14	151886064
  15	152025872
  16	151722768
  17	152060496
  18	152815232
  19	152577616
  20	152615264
  21	152817696
  22	153434128
  23	153200752
  24	153807280
  25	153848272
  26	152978384
  27	153116992
  28	153357456
  29	152650160
  30	152330944
  31	153615680
  32	153577616
  33	153813664
  34	153527568
  35	153296672
  36	153207392
  37	152721616
  38	153376832
  39	153765680
  40	153830288
  41	152606384
  42	152794528
  43	153230816
  44	153780768
  45	153632496
  46	154609536
  47	153939248
  48	152960080
  49	152642416
  50	153699056
  51	154776800
  52	154261072
  53	152842976
  54	152552384
  55	151723392
  56	151251984
  57	151399936
  58	151072304
  59	150212192
  60	149689472
  61	149633408
  62	150013744
  63	149421520
  64	149708944
  65	149370368
  66	149753840
  67	150071312
  68	149602336
  69	149620896
  70	149471504
  71	149849088
  72	149612640
  73	149790160
  74	150170176
  75	150096608
  76	149942400
  77	150069056
  78	149855216
  79	150770480
  80	150803312
  81	149880176
  82	150395488
  83	150028640
  84	149792464
  85	150962656
  86	150345136
  87	149613376
  88	150357424
  89	150264880
  90	150336112
  91	150586768
  92	149755920
  93	149912112
  94	150242608
  95	150909104
  96	151133472
  97	151786144
  98	151496096
  99	151009456
  100	151602592
  101	151646896
  102	151518832
  103	152048528
  104	151306912
  105	150500192
  106	150837904
  107	149960176
  108	150746176
  109	151195680
  110	151728720
  111	150315584
  112	150850576
  113	151071008
  114	150965200
  115	151267024
  116	151861008
  117	151295744
  118	150791952
  119	151562096
  120	152438752
  121	151444864
  122	151772208
  123	150789584
  124	152377808
  125	151856832
  126	151211728
  127	152364192
  128	152921056
  129	152695312
  130	152566544
  131	152816400
  132	152643328
  133	151010336
  134	150830032
  135	151620528
  136	152902640
  137	153839008
  138	152841248
  139	153399920
  140	153311632
  141	153209680
  142	152787824
  143	152619584
  144	152917776
  145	152159712
  146	152011712
  147	152233328
  148	152397440
  149	153157904
  150	152116992
  151	149945264
  152	151014240
  153	151129792
  154	151588352
  155	150887744
  156	152064384
  157	153079760
  158	153112128
  159	153027312
  160	152733152
  161	152816624
  162	151219712
  163	152229040
  164	152568992
  165	151687984
  166	150600336
  167	152045328
  168	151538960
  169	151870768
  170	152241232
  171	152359680
  172	151866480
  173	151714096
  174	152197632
  175	152493008
  176	152838192
  177	151971024
  178	153092144
  179	152929392
  180	151473872
  181	152410560
  182	151863552
  183	151290896
  184	151989968
  185	152070128
  186	152552096
  187	152931136
  188	152275424
  189	153049152
  190	152895568
  191	153446416
  192	153778192
  193	154013056
  194	153588496
  195	153663952
  196	153591424
  197	154028272
  198	154242912
  199	153309120
  200	152007280
  201	151803936
  202	151947088
  203	152604768
  204	152158976
  205	152298096
  206	151960384
  207	152002624
  208	150939232
  209	150419824
  210	149756448
  211	151119568
  212	150184592
  213	150995728
  214	151984720
  215	152750464
  216	153377024
  217	152657104
  218	152768800
  219	153104880
  220	152841968
  221	152561344
  222	152874784
  223	152815744
  224	152881168
  225	152737264
  226	153165584
  227	153144224
  228	152821872
  229	152878144
  230	152998064
  231	151939520
  232	151870128
  233	152298112
  234	151741536
  235	152177440
  236	152481248
  237	151845216
  238	151496384
  239	150636896
  240	150375424
  241	149860608
  242	149147568
  243	148403552
  244	149607008
  245	150229072
  246	150777600
  247	150268432
  248	149902896
  249	150354352
  250	149587120
  251	149581200
  252	150662384
  253	150592608
  254	151546400
  255	151756208
  256	151648064
  257	152352112
  258	152088224
  259	151317488
  260	152131472
  261	151995280
  262	152189296
  263	152685152
  264	152777440
  265	152337312
  266	148188688
  267	148078736
  268	146956464
  269	147322800
  270	146523584
  271	145882416
  272	146048832
  273	146420944
  274	146041120
  275	146670400
  276	147060352
  277	147355408
  278	147514512
  279	147189984
  280	146529824
  281	144664336
  282	145424864
  283	146267168
  284	145155008
  285	145062704
  286	143702016
  287	144717632
  288	144584864
  289	145746736
  290	145672768
  291	145824672
  292	145588864
  293	146033952
  294	146107392
  295	146296336
  296	145726688
  297	146446816
  298	145972496
  299	144566192
  300	144885728
  301	145588416
  302	145110080
  303	145722896
  304	146204592
  305	146669440
  306	145975856
  307	146442192
  308	146368240
  309	146740304
  310	145292752
  311	145852256
  312	145133424
  313	145734960
  314	146226752
